problemDowntime;Problem MM;reasonDowntime;actionDowtime;System
TEMPERATURE MESIN TIDAK STABIL;MACHINE BREAKDOWN;TPR RUSAK/TERBAKAR;SAMBUNG KABEL POWER LAMPU NIR YANG KEBAKAR;HEATING
HASIL LABEL TIDAK PANAS;MACHINE BREAKDOWN;TEFLON GOSONG / TERBAKAR;GANTI TEFLON BARU;HEATING
HASIL MELTING TIDAK STABIL;MACHINE BREAKDOWN;SETTINGAN ROLL TIDAK SAMA;SETTING ULANG ROLL;MELTING
HASIL PEMOTONGAN MESIN TIDAK RATA;MACHINE BREAKDOWN;CONECTING ROAD MIRING;SETTING KEMIRINGAN CONECTING ROAD;MECHANICAL
HASIL PEMOTONGAN MESIN TIDAK RATA;MACHINE BREAKDOWN;SETTINGAN KNIFE BERUBAH;SETTING ULANG KNIFE (HEAD);MECHANICAL
HASIL GAUGE TIDAK STABIL;MACHINE BREAKDOWN;CYLINDER MIRING;GANTI CYLINDER;PNEUMATIC
HASIL GAUGE TIDAK STABIL;MACHINE BREAKDOWN;CYLINDER MIRING;SETTING CYLINDER;PNEUMATIC
HASIL POTONG LASER TIDAK STANDAR - MM;MACHINE BREAKDOWN;BEARING HEAD KENDOR;SETTING BEARING HEAD;MECHANICAL
HASIL POTONG LASER TIDAK STANDAR - MM;MACHINE BREAKDOWN;SCREW LENSA KENDOR;KENCANGKAN SCREW LENSA;MECHANICAL
HASIL POTONG LASER TIDAK STANDAR - MM;MACHINE BREAKDOWN;TIMING BELT KENDOR;SETTING TIMING BELT;MECHANICAL
HASIL POTONG TIDAK STABIL;MACHINE BREAKDOWN;CONNECTING ROAD MIRING / RUSAK;SETTING KEMIRINGAN CONNECTING ROAD;MECHANICAL
HASIL POTONG TIDAK STABIL;MACHINE BREAKDOWN;TEFLON CUTTING RUSAK;GANTI TEFLON;MECHANICAL
HASIL POUNCHING TIDAK STABIL;MACHINE BREAKDOWN;AS TENGAH POUNCHING BENGKOK;GANTI AS /SETTING AS POUNCHING;MECHANICAL
HASIL POUNCHING TIDAK STABIL;MACHINE BREAKDOWN;LOMA KENDOR;GANTI LOMA DAN SETTING ULANG;MECHANICAL
HASIL POUNCHING TIDAK STABIL;MACHINE BREAKDOWN;RACKIE DAN AS TIDAK STABIL;LAS RACKIE DAN SETTING AS PUNCHING;MECHANICAL
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;CYLINCER RUSAK;GANTI CYLINCER;PNEUMATIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;CYLINDER RUSAK;GANTI CYLINDER;PNEUMATIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;AIR BAG TIDAK STANDARD;OVER HAUL CLAM HEAD;PNEUMATIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;AIR BAG TIDAK STANDARD;SETTING AIR BAG (BAUT);PNEUMATIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;AIR CYLINDER (PISTON) RUSAK / MACET;GANTI AIR CYLINDER;PNEUMATIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;AIR CYLINDER (PISTON) RUSAK / MACET;GANTI SEAL CYLINDER;PNEUMATIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;AIR CYLINDER SLIDING RUSAK/MACET;SERVICE MUR AIR CYLINDER DAN WELDING DAN MEJA LIFTER;PNEUMATIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;AIR SOLENOID VALVE RUSAK/MACET;GANTI SOLENOID VALVE;PNEUMATIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;AIR SOLENOID VALVE RUSAK/MACET;SERVICE SOLENOID VALVE;PNEUMATIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;AS FIXING SHAFT LEPAS;SERVICE FIXING SHAFT;PNEUMATIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;BANDO HEELAST AUS / PECAH / RUSAK;GANTI BANDO HEELAST;PNEUMATIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;BAUT PINCER PENJEPIT UPPER PATAH;GANTI BAUT PINCER;PNEUMATIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;BAUT/DRAT CYLINDER RUSAK;GANTI CYLINDER;HYDRAULIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;BAUT/DRAT CYLINDER RUSAK;GANTI CYLINDER;PNEUMATIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;BAUT/DRAT CYLINDER RUSAK;SERVICE CYLINDER DAN PASANG KEMBALI CYLINDER;PNEUMATIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;BOTTOM PAD RUSAK;GANTI BOTTOM PAD;HYDRAULIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;DRAT BAUT MOLD RUSAK;GANTI MOLD;PNEUMATIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;KABEL THERMO COUPLE LEPAS;SETING ULANG DAN GANTI KABEL THERMOCOPLE;HEATING
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;OIL CYLINDER (PISTON) RUSAK / MACET;GANTI OIL CYLINDER;HYDRAULIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;OIL CYLINDER (PISTON) RUSAK / MACET;GANTI SEAL CYLINDER;HYDRAULIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;POSISI HUMMER MIRING;SERVICE / PERBAIKI POSISI HUMMER;HYDRAULIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;POSISI HUMMER MIRING;SERVICE / PERBAIKI POSISI HUMMER;PNEUMATIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;SETTINGAN ENCODER BERUBAH;SETTING ULANG ENCODER;HYDRAULIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;SETTINGAN PRESS BERUBAH;SERVICE DAN SETTING ULANG PRESS;HYDRAULIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;SETTINGAN PRESS BERUBAH;SERVICE DAN SETTING ULANG PRESS;PNEUMATIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;SIDE PAD RUSAK (KEROPOS);GANTI SIDE PAD;HYDRAULIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;SOCKET TOE - HEEL RUSAK (AUS);SETTING SOCKET TOE - HEEL;HYDRAULIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;TOE - HEEL PAD RUSAK (KEROPOS);GANTI TOE - HEEL PAD;HYDRAULIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;WIPER TIDAK BERFUNGSI (BAUT WEAPER LEPAS);GANTI DAN SETTING WEAPER;HYDRAULIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;WIPER TIDAK BERFUNGSI (BAUT WEAPER LEPAS);PASANG DAN SETTING BAUT WEAPER;HYDRAULIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;WIPER TIDAK BERFUNGSI (BAUT WEAPER PATAH);GANTI DAN SETTING BAUT WIPPER;MECHANICAL
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;BAUT PINCER KENDOR;SETTING BAUT PINCER PRESS;PNEUMATIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;BAUT SETTINGAN MOLD KENDOR;SETTING ULANG DAN KENCANGKAN BAUT;PNEUMATIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;PU HOSE BOCOR / PECAH;GANTI PU HOSE;PNEUMATIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;AIR CYLINDER RUSAK;GANTI AIR CYLINDER;PNEUMATIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;AIR REGULATOR RUSAK;GANTI AIR REGULATOR;PNEUMATIC
HASIL PRESS TIDAK STABIL;MACHINE BREAKDOWN;BAUT MOLD PATAH;GANTI BAUT;PNEUMATIC
HASIL TRIMMING TIDAK STABIL;MACHINE BREAKDOWN;GUIDE TRIMMING KASAR / TUMPUL;SERVICE GUIDE TRIMMING;TRIMMER
HASIL TRIMMING TIDAK STABIL;MACHINE BREAKDOWN;GUIDE TRIMMING PATAH/RUSAK;GANTI GUIDE TRIMMING;TRIMMER
HASIL TRIMMING TIDAK STABIL;MACHINE BREAKDOWN;GUIDE TRIMMING PATAH/RUSAK;SERVICE GUIDE TRIMMING;TRIMMER
HASIL TRIMMING TIDAK STABIL;MACHINE BREAKDOWN;KNIFE HOLDER (DUDUKAN PISAU) RUSAK;SETTING KNIFE HOLDER;TRIMMER
HASIL TRIMMING TIDAK STABIL;MACHINE BREAKDOWN;PISAU TUMPUL;ASAH PISAU (TRIMER) DAN SETTING;TRIMMER
HASIL TRIMMING TIDAK STABIL;MACHINE BREAKDOWN;PISAU TUMPUL;GANTI PISAU (TRIMER) DAN SETTING;TRIMMER
HASIL TRIMMING TIDAK STABIL;MACHINE BREAKDOWN;SPRING KENDOR / RUSAK;SETTING KENCANGKAN SPRING;TRIMMER
HASIL TRIMMING TIDAK STABIL;MACHINE BREAKDOWN;UNDER KNIFE RUSAK;GANTI DAN SETTING UNDER KNIFE;TRIMMER
HASIL TRIMMING TIDAK STABIL;MACHINE BREAKDOWN;UNDER SHAFT AUS (RUSAK);GANTI UNDER SHAFT;TRIMMER
HASIL TRIMMING TIDAK STABIL;MACHINE BREAKDOWN;UPPER KNIFE RUSAK;GANTI DAN SETTING UPPER KNIFE;TRIMMER
HASIL TRIMMING TIDAK STABIL;MACHINE BREAKDOWN;WORM GEAR RUSAK;GANTI WORM GEAR;TRIMMER
HASIL WASHING TIDAK STABIL;MACHINE BREAKDOWN;AIR KNIFE KOTOR;SERVICE DAN CLEANING AIR KNIFE;MECHANICAL
HASIL WASHING TIDAK STABIL;MACHINE BREAKDOWN;FILTER MAMPET;BERSIHKAN FILTER;MECHANICAL
HASIL WASHING TIDAK STABIL;MACHINE BREAKDOWN;FLEXIBLE HOSE BOCOR/RUSAK;GANTI FLEXIBLE HOSE;MECHANICAL
HASIL WASHING TIDAK STABIL;MACHINE BREAKDOWN;NOZZEL BRUSHING MAMPET;SERVICE/BERSIHKAN NOZZEL;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;CONTACTOR OVER LOAD TERBAKAR - RUSAK;GANTI CONTACTOR OVER LOAD;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;FOOT SWITCH RUSAK/EROR;GANTI FOOT SWITCH;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;LAMPU SENSOR PUTUS / RUSAK;GANTI LAMPU SENSOR;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;LASER BOM SIGHT RUSAK/MATI;GANTI LASER BOM SIGHT BARU;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;LIMIT SWITCH RUSAK;SERVICE LIMIT SWITCH;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;PLATE SIDE RUSAK;GANTI PLATE SIDE;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;POWER SUPPLAY RUSAK;GANTI POWER SUPPLY;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;PROXIMITY SENSOR ERROR/RUSAK;GANTI DAN SETTING PROXIMITY SENSOR;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;SELECTOR SWITCH RUSAK;SERVICE SELECTOR SWITCH;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;SOCKET RELAY TIDAK BERFUNGSI (SHORT);GANTI SOCKET RELAY;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;SOCKET TIMER TIDAK BERFUNGSI (SHORT);GANTI SOCKET TIMER;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;EMERGENCY PUSH BUTTON RUSAK;GANTI EMERGENCY PUSH BUTTON;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;KABEL EMERGENCY SHORT;SETTING KABEL EMERGENCY;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;PUSH BUTTOM RUSAK;GANTI PUSH BUTTOM;ELECTRICAL
JAHITAN BINDING (DEPO) TIDAK STABIL;MACHINE BREAKDOWN;CORONG DEPO RUSAK;GANTI CORONG DEPO;STITCHING
JAHITAN BINDING (DEPO) TIDAK STABIL;MACHINE BREAKDOWN;SETTINGAN CORONG DEPO TIDAK KONSISTEN;GANTI DAN SETTING CORONG DEPO;STITCHING
JAHITAN KENDOR/TIMBUL;MACHINE BREAKDOWN;BAUT SPRING SEKOCI KENDUR;KENCANGKAN BAUT SPRING SEKOCI;STITCHING
JAHITAN KENDOR/TIMBUL;MACHINE BREAKDOWN;BAUT SPRING SEKOCI LEPAS;PASANG BAUT SEKOCI;STITCHING
JAHITAN KENDOR/TIMBUL;MACHINE BREAKDOWN;BENANG SKOCI BAWAH TERLALU KENCANG;KENDORKAN BAUT SKOCI DAN SETTING;STITCHING
JAHITAN KENDOR/TIMBUL;MACHINE BREAKDOWN;SETTINGAN HOOK BERUBAH (BENANG NYANGKUT HOOK);SETTING ULANG HOOK;STITCHING
JAHITAN KENDOR/TIMBUL;MACHINE BREAKDOWN;SPRING SEKOCI PATAH;GANTI (SPRING) SEKOCI;STITCHING
JAHITAN KENDOR/TIMBUL;MACHINE BREAKDOWN;TEMPAT BENANG LEPAS (ANTENA BENANG);PASANG BAUT TEMPAT BENANG;STITCHING
JAHITAN KUSUT / MERUDUL;MACHINE BREAKDOWN;BENANG NYANGKUT DI STOPER;SETTING STOPER;STITCHING
JAHITAN KUSUT / MERUDUL;MACHINE BREAKDOWN;BENANG NYANGKUT HOOK (GAMA);BERSIHKAN BENANG DI DALAM HOOK (GAMA);STITCHING
JAHITAN KUSUT / MERUDUL;MACHINE BREAKDOWN;HOOK (GAMA) KASAR;ASAH HOOK (GAMA);STITCHING
JAHITAN KUSUT / MERUDUL;MACHINE BREAKDOWN;HOOK (GAMA) PENDEK;ASAH HOOK (GAMA);STITCHING
JAHITAN KUSUT / MERUDUL;MACHINE BREAKDOWN;HOOK (GAMA) TUMPUL;ASAH HOOK (GAMA);STITCHING
JAHITAN KUSUT / MERUDUL;MACHINE BREAKDOWN;SETTINGAN HOOK BERUBAH;SETTING ULANG HOOK;STITCHING
JAHITAN LONCAT;MACHINE BREAKDOWN;HOOK (GAMA) PENDEK;ASAH HOOK (GAMA);STITCHING
JAHITAN LONCAT;MACHINE BREAKDOWN;HOOK (GAMA) TUMPUL;ASAH HOOK (GAMA);STITCHING
JAHITAN LONCAT;MACHINE BREAKDOWN;SETTINGAN HOOK (GAMA) / LOOPER BERUBAH;SETTING ULANG HOOK (GAMA);STITCHING
JAHITAN MUDAH PUTUS / TERPOTONG;MACHINE BREAKDOWN;HOOK KASAR / TAJAM;ASAH DAN SETTING HOOK;STITCHING
JAHITAN MUDAH PUTUS / TERPOTONG;MACHINE BREAKDOWN;PEMASANGAN JARUM TIDAK TEPAT;SETTING JARUM;STITCHING
JAHITAN MUDAH PUTUS / TERPOTONG;MACHINE BREAKDOWN;SIMPAN KASAR;ASAH SIMPAN;STITCHING
JAHITAN SERET;MACHINE BREAKDOWN;ALAS OSAY KASAR DAN TERLALU TEKAN;AMPLAS ALAS OSAY DAN SETTING OSAY KEMBALI;STITCHING
JAHITAN SERET;MACHINE BREAKDOWN;BEARING PECAH;GANTI BEARINGBAMBU DAN SETTING ULANG;STITCHING
JAHITAN SERET;MACHINE BREAKDOWN;FEED DOG RUSAK (PATAH);GANTI FEED DOG DAN SETTING;STITCHING
JAHITAN SERET;MACHINE BREAKDOWN;FEED DOG TERLALU RENDAH & OSAY BAGIAN BAWAH KASAR;NAIKAN FEED DOG;STITCHING
JAHITAN SERET;MACHINE BREAKDOWN;GEAR ROLL BAWAH AUS;GANTI GEAR BAWAH YG BARU;STITCHING
JAHITAN SERET;MACHINE BREAKDOWN;RODA SERET/MACET;ADA LEM DI RODA BAWAH, BERSIHKAN RODA BAWAH;STITCHING
JAHITAN TIDAK NYANGKUT;MACHINE BREAKDOWN;ALAS PRESURE FOOT (OSAY) KASAR DAN TERLALU TEKAN;SETTING PRESURE FOOT (OSAY);STITCHING
JAHITAN TIDAK NYANGKUT;MACHINE BREAKDOWN;BAUT GEAR KENDOR;SETTING ULANG HOOK (GAMA);STITCHING
JAHITAN TIDAK NYANGKUT;MACHINE BREAKDOWN;BAUT GEAR RODA LEPAS;GANTI BAUT GEAR DAN SETTING ULANG;STITCHING
JAHITAN TIDAK NYANGKUT;MACHINE BREAKDOWN;BAUT GEAR RODA LEPAS;PASANG GEAR BAWAH LALU SETTING ULANG;STITCHING
JAHITAN TIDAK NYANGKUT;MACHINE BREAKDOWN;GAMA PENDEK;SETTING GAMA;STITCHING
JAHITAN TIDAK NYANGKUT;MACHINE BREAKDOWN;PEMASANGAN JARUM TIDAK TEPAT;SETTING PEMASANGAN JARUM DAN HOOK;STITCHING
JAHITAN TIDAK NYANGKUT;MACHINE BREAKDOWN;SETTINGAN HOOK (GAMA) DAN INER HOOK TIDAK SESUAI;SETTING ULANG HOOK (GAMA);STITCHING
JAHITAN TIDAK NYANGKUT;MACHINE BREAKDOWN;SETTINGAN LOPPER BERUBAH;SETTING ULANG LOPPER;STITCHING
PEMOTONG BENANG TIDAK BERFUNGSI;MACHINE BREAKDOWN;PEMOTONG BENANG TUMPUL;ASAH PISAU PEMOTONG BENANG;STITCHING
PEMOTONG BENANG TIDAK BERFUNGSI;MACHINE BREAKDOWN;SETTING PEMOTONG BENANG TIDAK SESUAI;SETTING PEMOTONG BENANG;STITCHING
JARINGAN TIDAK TERHUBUNG;POWER SUPPLY PROBLEM;SERVER TERPUTUS;SETTING JARINGAN (TO NESTING TABLE);FACILITIES
JARUM MENTOK;MACHINE BREAKDOWN;SETTINGAN JARUM BERUBAH;SETTING ULANG TIANG JARUM;STITCHING
